Periodes;F1;F2;F3;F4;F5;F6;F8;F9;F10;F11;Debut;Fin
P1;4;1;0;0;1;0;0;1;0;6;1;50
P2;4;1;0;0;1;0;0;1;0;6;51;100
P3;4;1;0;0;1;0;0;1;0;6;101;150
P4;4;1;0;0;1;0;0;1;0;6;151;200
P5;4;1;0;0;1;0;0;1;0;6;201;250
P6;4;1;0;5;1;0;0;1;0;6;251;300
P7;4;1;0;5;1;0;0;1;0;6;301;350
P8;4;1;0;5;0;0;0;1;1;6;351;400
P9;4;1;0;5;0;0;0;1;0;6;401;450
P10;4;1;0;5;0;0;0;1;0;6;451;500
P11;4;1;0;5;2;0;1;0;0;6;501;550
P12;4;1;0;5;2;0;1;0;0;6;551;600
P13;5;1;0;5;2;0;4;2;0;6;601;650
P14;5;1;0;0;4;0;7;2;0;6;651;700
P15;10;1;0;0;3;0;6;1;0;6;701;750
P16;10;1;0;0;3;0;6;1;0;6;751;800
P17;11;3;0;0;3;0;9;1;2;6;801;850
P18;11;3;0;1;3;0;9;1;2;6;851;900
P19;10;3;0;1;3;0;9;1;3;6;901;950
P20;12;2;0;0;4;0;9;1;3;6;951;1000
P21;30;2;0;0;5;0;16;3;5;6;1001;1050
P22;32;2;0;0;4;0;16;3;5;6;1051;1100
P23;38;3;0;0;6;1;16;3;5;6;1101;1150
P24;51;4;0;9;6;4;22;4;5;6;1151;1200
P25;61;4;1;9;4;4;27;6;5;6;1201;1250
P26;66;5;1;9;5;6;29;6;10;6;1251;1300
P27;69;3;1;9;4;7;28;10;12;6;1301;1350
P28;72;3;1;11;5;8;28;12;15;6;1351;1400
P29;69;3;1;10;6;7;31;10;16;4;1401;1450
P30;68;4;2;11;6;7;31;10;16;4;1451;1500
P31;69;4;2;12;7;9;32;10;15;4;1501;1550
P32;71;6;2;19;9;6;36;11;15;3;1551;1600
P33;75;7;2;22;8;4;33;12;17;4;1601;1650
P34;75;8;2;20;8;10;32;12;16;5;1651;1700
P35;72;7;2;16;8;7;32;12;16;4;1701;1750
P36;74;3;2;17;11;9;32;11;17;4;1751;1800
P37;73;6;2;17;5;4;1;2;17;4;1801;1850
P38;80;7;2;18;4;8;1;1;17;4;1851;1900
P39;95;7;2;6;11;12;1;3;18;3;1901;1950
P40;74;4;2;4;16;9;1;3;12;3;1951;2000
P41;73;1;1;2;12;7;2;3;7;3;2001;2016
