;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11
P1;6;2;1;0;2;0;6;0;2;2;6
P2;6;2;1;0;2;0;6;0;2;3;6
P3;6;2;1;0;2;0;7;0;2;3;6
P4;6;2;1;0;2;0;7;0;2;2;6
P5;6;2;0;0;2;0;6;0;2;4;6
P6;6;2;0;7;2;0;6;0;2;4;6
P7;4;2;0;7;1;0;4;0;2;1;6
P8;4;2;0;7;0;0;4;0;2;2;6
P9;4;2;0;7;0;0;5;0;2;3;6
P10;4;2;0;7;0;0;6;0;2;3;6
P11;4;2;0;7;2;0;3;1;1;2;6
P12;4;2;0;7;2;0;3;1;1;2;6
P13;5;2;0;7;2;0;3;4;3;2;6
P14;5;2;0;1;4;0;3;7;3;2;6
P15;12;2;0;1;3;0;5;7;3;3;6
P16;12;2;0;1;3;0;5;7;3;3;6
P17;13;4;0;1;3;0;4;10;3;4;6
P18;13;4;0;2;3;0;4;10;3;4;6
P19;12;4;0;2;3;0;4;10;3;5;6
P20;14;3;0;1;4;0;5;10;3;5;6
P21;31;3;0;1;5;0;5;17;5;7;6
P22;33;3;0;1;4;0;5;17;5;7;6
P23;39;5;0;1;6;1;7;17;4;7;6
P24;52;6;0;11;6;4;9;23;5;7;6
P25;62;6;1;11;4;4;12;28;9;9;7
P26;66;7;1;11;5;6;13;29;11;14;7
P27;69;4;1;10;4;7;12;28;12;16;7
P28;72;4;1;12;5;8;12;28;13;20;7
P29;69;3;1;11;6;7;12;31;11;21;5
P30;68;4;2;12;6;7;13;31;11;21;5
P31;70;4;2;13;7;9;18;32;11;20;5
P32;72;6;2;20;9;6;12;36;12;20;4
P33;76;7;2;23;8;4;12;33;13;23;5
P34;76;8;2;21;8;10;12;32;13;22;6
P35;73;7;2;17;8;7;12;32;14;22;5
P36;76;3;2;18;11;9;15;32;13;23;5
